election,election_id,precinct,registered,cast,democrat,republican
"July 14th, 2020 Joint Primary Runoff",2,1103,735,41,20,21
"July 14th, 2020 Joint Primary Runoff",2,1104,"3,162",341,241,100
"July 14th, 2020 Joint Primary Runoff",2,1105,708,37,25,12
"July 14th, 2020 Joint Primary Runoff",2,1106,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1107,"3,101",178,99,79
"July 14th, 2020 Joint Primary Runoff",2,1108,"4,597",456,323,133
"July 14th, 2020 Joint Primary Runoff",2,1109,3,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1110,"2,774",139,102,37
"July 14th, 2020 Joint Primary Runoff",2,1111,"4,895",479,333,146
"July 14th, 2020 Joint Primary Runoff",2,1112,"4,685",277,193,84
"July 14th, 2020 Joint Primary Runoff",2,1113,"2,954",222,175,47
"July 14th, 2020 Joint Primary Runoff",2,1114,27,4,2,2
"July 14th, 2020 Joint Primary Runoff",2,1115,207,12,6,6
"July 14th, 2020 Joint Primary Runoff",2,1116,"1,307",116,67,49
"July 14th, 2020 Joint Primary Runoff",2,1117,363,38,30,8
"July 14th, 2020 Joint Primary Runoff",2,1118,"3,559",293,194,99
"July 14th, 2020 Joint Primary Runoff",2,1119,137,6,6,0
"July 14th, 2020 Joint Primary Runoff",2,1120,153,11,10,1
"July 14th, 2020 Joint Primary Runoff",2,1121,"3,383",259,189,70
"July 14th, 2020 Joint Primary Runoff",2,1122,"4,526",393,276,117
"July 14th, 2020 Joint Primary Runoff",2,1123,588,53,28,25
"July 14th, 2020 Joint Primary Runoff",2,1124,787,61,45,16
"July 14th, 2020 Joint Primary Runoff",2,1125,"2,089",206,120,86
"July 14th, 2020 Joint Primary Runoff",2,1126,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1127,622,37,33,4
"July 14th, 2020 Joint Primary Runoff",2,1128,"1,512",73,47,26
"July 14th, 2020 Joint Primary Runoff",2,1129,"1,786",187,133,54
"July 14th, 2020 Joint Primary Runoff",2,1130,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1131,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1132,2,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1133,4,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1134,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1135,1,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1136,103,5,3,2
"July 14th, 2020 Joint Primary Runoff",2,1137,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,1138,927,42,37,5
"July 14th, 2020 Joint Primary Runoff",2,1139,931,78,59,19
"July 14th, 2020 Joint Primary Runoff",2,1140,"1,203",69,46,23
"July 14th, 2020 Joint Primary Runoff",2,1141,"2,121",140,90,50
"July 14th, 2020 Joint Primary Runoff",2,1142,"2,115",108,81,27
"July 14th, 2020 Joint Primary Runoff",2,1143,"3,264",228,154,74
"July 14th, 2020 Joint Primary Runoff",2,1144,"2,475",786,340,446
"July 14th, 2020 Joint Primary Runoff",2,1145,732,63,36,27
"July 14th, 2020 Joint Primary Runoff",2,1146,178,14,6,8
"July 14th, 2020 Joint Primary Runoff",2,1147,"2,602",155,113,42
"July 14th, 2020 Joint Primary Runoff",2,1148,894,37,25,12
"July 14th, 2020 Joint Primary Runoff",2,1149,"2,208",167,118,49
"July 14th, 2020 Joint Primary Runoff",2,1150,"2,467",169,95,74
"July 14th, 2020 Joint Primary Runoff",2,1151,"2,181",166,111,55
"July 14th, 2020 Joint Primary Runoff",2,2001,941,47,42,5
"July 14th, 2020 Joint Primary Runoff",2,2002,"1,222",73,66,7
"July 14th, 2020 Joint Primary Runoff",2,2003,"2,148",111,94,17
"July 14th, 2020 Joint Primary Runoff",2,2004,"2,910",137,122,15
"July 14th, 2020 Joint Primary Runoff",2,2005,920,105,100,5
"July 14th, 2020 Joint Primary Runoff",2,2006,20,2,2,0
"July 14th, 2020 Joint Primary Runoff",2,2007,"1,722",93,77,16
"July 14th, 2020 Joint Primary Runoff",2,2008,"1,110",64,57,7
"July 14th, 2020 Joint Primary Runoff",2,2009,"2,265",109,89,20
"July 14th, 2020 Joint Primary Runoff",2,2010,"1,566",126,94,32
"July 14th, 2020 Joint Primary Runoff",2,2011,"2,070",139,131,8
"July 14th, 2020 Joint Primary Runoff",2,2012,"1,577",84,64,20
"July 14th, 2020 Joint Primary Runoff",2,2013,"1,166",119,102,17
"July 14th, 2020 Joint Primary Runoff",2,2014,"1,215",86,71,15
"July 14th, 2020 Joint Primary Runoff",2,2015,"1,925",76,67,9
"July 14th, 2020 Joint Primary Runoff",2,2016,"1,324",50,46,4
"July 14th, 2020 Joint Primary Runoff",2,2017,"1,195",49,46,3
"July 14th, 2020 Joint Primary Runoff",2,2018,"1,119",120,97,23
"July 14th, 2020 Joint Primary Runoff",2,2019,"1,813",98,89,9
"July 14th, 2020 Joint Primary Runoff",2,2020,"2,824",169,157,12
"July 14th, 2020 Joint Primary Runoff",2,2021,"2,816",135,113,22
"July 14th, 2020 Joint Primary Runoff",2,2022,"1,576",99,86,13
"July 14th, 2020 Joint Primary Runoff",2,2023,"2,824",217,184,33
"July 14th, 2020 Joint Primary Runoff",2,2024,"1,889",162,133,29
"July 14th, 2020 Joint Primary Runoff",2,2025,"2,476",271,230,41
"July 14th, 2020 Joint Primary Runoff",2,2026,"2,147",263,208,55
"July 14th, 2020 Joint Primary Runoff",2,2027,"1,229",185,152,33
"July 14th, 2020 Joint Primary Runoff",2,2028,"2,241",364,297,67
"July 14th, 2020 Joint Primary Runoff",2,2029,"1,321",71,60,11
"July 14th, 2020 Joint Primary Runoff",2,2030,"1,532",84,69,15
"July 14th, 2020 Joint Primary Runoff",2,2031,"1,670",90,80,10
"July 14th, 2020 Joint Primary Runoff",2,2032,534,39,38,1
"July 14th, 2020 Joint Primary Runoff",2,2033,"1,397",45,38,7
"July 14th, 2020 Joint Primary Runoff",2,2034,"1,587",38,33,5
"July 14th, 2020 Joint Primary Runoff",2,2035,"1,353",261,238,23
"July 14th, 2020 Joint Primary Runoff",2,2036,"1,526",331,268,63
"July 14th, 2020 Joint Primary Runoff",2,2037,"1,513",214,119,95
"July 14th, 2020 Joint Primary Runoff",2,2038,"1,229",199,136,63
"July 14th, 2020 Joint Primary Runoff",2,2039,"1,382",180,166,14
"July 14th, 2020 Joint Primary Runoff",2,2040,"2,526",308,231,77
"July 14th, 2020 Joint Primary Runoff",2,2041,"2,809",266,217,49
"July 14th, 2020 Joint Primary Runoff",2,2042,"1,743",126,113,13
"July 14th, 2020 Joint Primary Runoff",2,2043,"2,263",109,97,12
"July 14th, 2020 Joint Primary Runoff",2,2044,"2,606",100,77,23
"July 14th, 2020 Joint Primary Runoff",2,2045,"2,001",385,342,43
"July 14th, 2020 Joint Primary Runoff",2,2046,"2,046",347,301,46
"July 14th, 2020 Joint Primary Runoff",2,2047,"1,629",206,178,28
"July 14th, 2020 Joint Primary Runoff",2,2048,"1,804",81,70,11
"July 14th, 2020 Joint Primary Runoff",2,2049,"3,020",271,210,61
"July 14th, 2020 Joint Primary Runoff",2,2050,"1,786",211,159,52
"July 14th, 2020 Joint Primary Runoff",2,2051,638,58,45,13
"July 14th, 2020 Joint Primary Runoff",2,2052,"1,013",52,48,4
"July 14th, 2020 Joint Primary Runoff",2,2053,"1,274",109,95,14
"July 14th, 2020 Joint Primary Runoff",2,2054,"1,966",310,275,35
"July 14th, 2020 Joint Primary Runoff",2,2055,"2,122",170,150,20
"July 14th, 2020 Joint Primary Runoff",2,2056,"1,414",126,112,14
"July 14th, 2020 Joint Primary Runoff",2,2057,"2,332",145,111,34
"July 14th, 2020 Joint Primary Runoff",2,2058,"2,280",134,110,24
"July 14th, 2020 Joint Primary Runoff",2,2059,"2,283",192,151,41
"July 14th, 2020 Joint Primary Runoff",2,2060,"1,496",147,120,27
"July 14th, 2020 Joint Primary Runoff",2,2061,"1,106",73,59,14
"July 14th, 2020 Joint Primary Runoff",2,2062,"1,178",112,74,38
"July 14th, 2020 Joint Primary Runoff",2,2063,"1,852",270,92,178
"July 14th, 2020 Joint Primary Runoff",2,2064,"2,334",247,169,78
"July 14th, 2020 Joint Primary Runoff",2,2065,"4,888",214,150,64
"July 14th, 2020 Joint Primary Runoff",2,2066,"3,679",524,309,215
"July 14th, 2020 Joint Primary Runoff",2,2067,273,44,38,6
"July 14th, 2020 Joint Primary Runoff",2,2068,"4,084",518,305,213
"July 14th, 2020 Joint Primary Runoff",2,2069,"3,047",244,178,66
"July 14th, 2020 Joint Primary Runoff",2,2070,"2,121",131,128,3
"July 14th, 2020 Joint Primary Runoff",2,2071,900,44,34,10
"July 14th, 2020 Joint Primary Runoff",2,2072,"3,175",278,165,113
"July 14th, 2020 Joint Primary Runoff",2,2073,"1,216",88,62,26
"July 14th, 2020 Joint Primary Runoff",2,2074,"1,141",41,26,15
"July 14th, 2020 Joint Primary Runoff",2,2075,"1,114",40,33,7
"July 14th, 2020 Joint Primary Runoff",2,2076,"2,363",232,131,101
"July 14th, 2020 Joint Primary Runoff",2,2077,"2,324",274,177,97
"July 14th, 2020 Joint Primary Runoff",2,2078,"2,598",193,130,63
"July 14th, 2020 Joint Primary Runoff",2,2079,706,24,21,3
"July 14th, 2020 Joint Primary Runoff",2,2080,"1,408",100,76,24
"July 14th, 2020 Joint Primary Runoff",2,2081,884,95,69,26
"July 14th, 2020 Joint Primary Runoff",2,2082,"1,576",127,89,38
"July 14th, 2020 Joint Primary Runoff",2,2083,732,107,90,17
"July 14th, 2020 Joint Primary Runoff",2,2084,"3,321",610,296,314
"July 14th, 2020 Joint Primary Runoff",2,2085,"1,452",153,116,37
"July 14th, 2020 Joint Primary Runoff",2,2086,"3,249",372,248,124
"July 14th, 2020 Joint Primary Runoff",2,2087,"1,820",263,148,115
"July 14th, 2020 Joint Primary Runoff",2,2088,"3,809",345,231,114
"July 14th, 2020 Joint Primary Runoff",2,2089,550,32,28,4
"July 14th, 2020 Joint Primary Runoff",2,2090,"2,110",118,90,28
"July 14th, 2020 Joint Primary Runoff",2,2091,"3,049",192,148,44
"July 14th, 2020 Joint Primary Runoff",2,2092,481,38,24,14
"July 14th, 2020 Joint Primary Runoff",2,2093,"1,476",95,69,26
"July 14th, 2020 Joint Primary Runoff",2,2094,143,23,18,5
"July 14th, 2020 Joint Primary Runoff",2,2095,"2,325",278,104,174
"July 14th, 2020 Joint Primary Runoff",2,2096,"2,455",134,92,42
"July 14th, 2020 Joint Primary Runoff",2,2097,"2,542",193,141,52
"July 14th, 2020 Joint Primary Runoff",2,2098,"1,503",112,63,49
"July 14th, 2020 Joint Primary Runoff",2,2099,"1,552",226,127,99
"July 14th, 2020 Joint Primary Runoff",2,2100,"1,311",111,82,29
"July 14th, 2020 Joint Primary Runoff",2,2101,"1,481",120,84,36
"July 14th, 2020 Joint Primary Runoff",2,2102,"2,601",258,162,96
"July 14th, 2020 Joint Primary Runoff",2,2103,317,14,10,4
"July 14th, 2020 Joint Primary Runoff",2,2104,275,24,21,3
"July 14th, 2020 Joint Primary Runoff",2,2105,608,38,35,3
"July 14th, 2020 Joint Primary Runoff",2,2106,583,43,30,13
"July 14th, 2020 Joint Primary Runoff",2,2107,"3,323",164,113,51
"July 14th, 2020 Joint Primary Runoff",2,2108,"1,128",170,92,78
"July 14th, 2020 Joint Primary Runoff",2,2109,1,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,2110,"1,269",127,76,51
"July 14th, 2020 Joint Primary Runoff",2,2111,"1,213",77,66,11
"July 14th, 2020 Joint Primary Runoff",2,2112,"1,750",195,128,67
"July 14th, 2020 Joint Primary Runoff",2,2113,106,3,2,1
"July 14th, 2020 Joint Primary Runoff",2,2114,"2,400",191,134,57
"July 14th, 2020 Joint Primary Runoff",2,2115,"5,405",533,271,262
"July 14th, 2020 Joint Primary Runoff",2,2116,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,2117,665,49,41,8
"July 14th, 2020 Joint Primary Runoff",2,2118,33,7,7,0
"July 14th, 2020 Joint Primary Runoff",2,2119,306,19,19,0
"July 14th, 2020 Joint Primary Runoff",2,2120,"1,786",134,72,62
"July 14th, 2020 Joint Primary Runoff",2,2121,536,31,27,4
"July 14th, 2020 Joint Primary Runoff",2,2122,"1,723",104,85,19
"July 14th, 2020 Joint Primary Runoff",2,2123,"2,128",173,103,70
"July 14th, 2020 Joint Primary Runoff",2,2124,615,102,68,34
"July 14th, 2020 Joint Primary Runoff",2,2125,"2,621",183,120,63
"July 14th, 2020 Joint Primary Runoff",2,2126,"1,569",110,69,41
"July 14th, 2020 Joint Primary Runoff",2,2127,"2,643",265,164,101
"July 14th, 2020 Joint Primary Runoff",2,2128,"2,524",119,99,20
"July 14th, 2020 Joint Primary Runoff",2,2129,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,2130,"2,033",208,154,54
"July 14th, 2020 Joint Primary Runoff",2,2131,449,29,25,4
"July 14th, 2020 Joint Primary Runoff",2,2132,3,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,2133,340,45,31,14
"July 14th, 2020 Joint Primary Runoff",2,2134,"1,624",87,59,28
"July 14th, 2020 Joint Primary Runoff",2,2135,763,64,57,7
"July 14th, 2020 Joint Primary Runoff",2,2136,"4,097",275,177,98
"July 14th, 2020 Joint Primary Runoff",2,2137,"1,190",142,99,43
"July 14th, 2020 Joint Primary Runoff",2,2138,"1,064",111,77,34
"July 14th, 2020 Joint Primary Runoff",2,2139,"1,918",220,132,88
"July 14th, 2020 Joint Primary Runoff",2,2140,"1,778",149,111,38
"July 14th, 2020 Joint Primary Runoff",2,2141,"1,396",152,97,55
"July 14th, 2020 Joint Primary Runoff",2,2142,708,44,36,8
"July 14th, 2020 Joint Primary Runoff",2,2143,"2,249",225,157,68
"July 14th, 2020 Joint Primary Runoff",2,2144,"1,895",236,184,52
"July 14th, 2020 Joint Primary Runoff",2,2145,336,45,22,23
"July 14th, 2020 Joint Primary Runoff",2,2146,93,8,5,3
"July 14th, 2020 Joint Primary Runoff",2,2147,672,41,25,16
"July 14th, 2020 Joint Primary Runoff",2,2148,"3,809",282,218,64
"July 14th, 2020 Joint Primary Runoff",2,2149,"2,327",140,106,34
"July 14th, 2020 Joint Primary Runoff",2,2150,8,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,2151,62,2,1,1
"July 14th, 2020 Joint Primary Runoff",2,2152,691,65,56,9
"July 14th, 2020 Joint Primary Runoff",2,2153,396,26,19,7
"July 14th, 2020 Joint Primary Runoff",2,2154,"3,775",183,110,73
"July 14th, 2020 Joint Primary Runoff",2,2155,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,2156,"1,316",95,82,13
"July 14th, 2020 Joint Primary Runoff",2,2157,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,2158,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,2159,195,14,10,4
"July 14th, 2020 Joint Primary Runoff",2,2160,6,2,1,1
"July 14th, 2020 Joint Primary Runoff",2,3001,"3,493",399,182,217
"July 14th, 2020 Joint Primary Runoff",2,3002,"2,414",238,122,116
"July 14th, 2020 Joint Primary Runoff",2,3003,69,11,4,7
"July 14th, 2020 Joint Primary Runoff",2,3004,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,3005,"2,783",340,127,213
"July 14th, 2020 Joint Primary Runoff",2,3006,"1,068",196,87,109
"July 14th, 2020 Joint Primary Runoff",2,3007,"3,131",312,148,164
"July 14th, 2020 Joint Primary Runoff",2,3008,96,8,5,3
"July 14th, 2020 Joint Primary Runoff",2,3009,14,2,0,2
"July 14th, 2020 Joint Primary Runoff",2,3010,672,55,42,13
"July 14th, 2020 Joint Primary Runoff",2,3011,951,215,126,89
"July 14th, 2020 Joint Primary Runoff",2,3012,"1,149",150,41,109
"July 14th, 2020 Joint Primary Runoff",2,3013,"1,833",260,154,106
"July 14th, 2020 Joint Primary Runoff",2,3014,563,93,43,50
"July 14th, 2020 Joint Primary Runoff",2,3015,"1,020",163,109,54
"July 14th, 2020 Joint Primary Runoff",2,3016,205,34,15,19
"July 14th, 2020 Joint Primary Runoff",2,3017,"2,476",440,93,347
"July 14th, 2020 Joint Primary Runoff",2,3018,"1,793",312,177,135
"July 14th, 2020 Joint Primary Runoff",2,3019,705,51,35,16
"July 14th, 2020 Joint Primary Runoff",2,3020,"2,593",465,303,162
"July 14th, 2020 Joint Primary Runoff",2,3021,"2,356",399,139,260
"July 14th, 2020 Joint Primary Runoff",2,3022,"1,577",316,194,122
"July 14th, 2020 Joint Primary Runoff",2,3023,"2,494",279,146,133
"July 14th, 2020 Joint Primary Runoff",2,3024,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,3025,"1,696",281,159,122
"July 14th, 2020 Joint Primary Runoff",2,3026,"1,460",213,117,96
"July 14th, 2020 Joint Primary Runoff",2,3027,"1,491",254,108,146
"July 14th, 2020 Joint Primary Runoff",2,3028,"2,131",230,117,113
"July 14th, 2020 Joint Primary Runoff",2,3029,"1,268",167,87,80
"July 14th, 2020 Joint Primary Runoff",2,3030,"2,170",416,148,268
"July 14th, 2020 Joint Primary Runoff",2,3031,23,6,5,1
"July 14th, 2020 Joint Primary Runoff",2,3032,"2,222",201,143,58
"July 14th, 2020 Joint Primary Runoff",2,3033,"2,183",359,94,265
"July 14th, 2020 Joint Primary Runoff",2,3034,"2,607",629,91,538
"July 14th, 2020 Joint Primary Runoff",2,3035,815,117,67,50
"July 14th, 2020 Joint Primary Runoff",2,3036,"4,339",347,221,126
"July 14th, 2020 Joint Primary Runoff",2,3037,"2,862",421,222,199
"July 14th, 2020 Joint Primary Runoff",2,3038,"1,217",222,105,117
"July 14th, 2020 Joint Primary Runoff",2,3039,"4,355",429,145,284
"July 14th, 2020 Joint Primary Runoff",2,3040,"2,123",309,154,155
"July 14th, 2020 Joint Primary Runoff",2,3041,533,124,57,67
"July 14th, 2020 Joint Primary Runoff",2,3042,"2,353",333,124,209
"July 14th, 2020 Joint Primary Runoff",2,3043,"2,832",378,112,266
"July 14th, 2020 Joint Primary Runoff",2,3044,"1,532",188,102,86
"July 14th, 2020 Joint Primary Runoff",2,3045,"1,579",300,101,199
"July 14th, 2020 Joint Primary Runoff",2,3046,"1,470",270,162,108
"July 14th, 2020 Joint Primary Runoff",2,3047,"1,769",307,170,137
"July 14th, 2020 Joint Primary Runoff",2,3048,"1,608",326,178,148
"July 14th, 2020 Joint Primary Runoff",2,3049,"2,109",445,198,247
"July 14th, 2020 Joint Primary Runoff",2,3050,"1,157",223,86,137
"July 14th, 2020 Joint Primary Runoff",2,3051,362,44,18,26
"July 14th, 2020 Joint Primary Runoff",2,3052,"4,894",459,206,253
"July 14th, 2020 Joint Primary Runoff",2,3053,"2,014",326,170,156
"July 14th, 2020 Joint Primary Runoff",2,3054,"1,687",234,153,81
"July 14th, 2020 Joint Primary Runoff",2,3055,"3,077",378,104,274
"July 14th, 2020 Joint Primary Runoff",2,3056,"2,281",152,102,50
"July 14th, 2020 Joint Primary Runoff",2,3057,584,93,46,47
"July 14th, 2020 Joint Primary Runoff",2,3058,"3,579",316,176,140
"July 14th, 2020 Joint Primary Runoff",2,3059,"2,016",193,75,118
"July 14th, 2020 Joint Primary Runoff",2,3060,"1,945",271,153,118
"July 14th, 2020 Joint Primary Runoff",2,3061,"2,069",220,123,97
"July 14th, 2020 Joint Primary Runoff",2,3062,43,6,2,4
"July 14th, 2020 Joint Primary Runoff",2,3063,"1,899",344,190,154
"July 14th, 2020 Joint Primary Runoff",2,3064,413,80,41,39
"July 14th, 2020 Joint Primary Runoff",2,3065,75,3,3,0
"July 14th, 2020 Joint Primary Runoff",2,3066,"1,921",350,177,173
"July 14th, 2020 Joint Primary Runoff",2,3067,"1,519",276,133,143
"July 14th, 2020 Joint Primary Runoff",2,3068,"2,814",192,136,56
"July 14th, 2020 Joint Primary Runoff",2,3069,"3,240",614,321,293
"July 14th, 2020 Joint Primary Runoff",2,3070,"2,460",607,278,329
"July 14th, 2020 Joint Primary Runoff",2,3071,"2,616",394,229,165
"July 14th, 2020 Joint Primary Runoff",2,3072,"4,174",320,146,174
"July 14th, 2020 Joint Primary Runoff",2,3073,"1,597",212,124,88
"July 14th, 2020 Joint Primary Runoff",2,3074,"2,528",446,219,227
"July 14th, 2020 Joint Primary Runoff",2,3075,"3,026",595,204,391
"July 14th, 2020 Joint Primary Runoff",2,3076,"1,340",269,86,183
"July 14th, 2020 Joint Primary Runoff",2,3077,"2,415",454,223,231
"July 14th, 2020 Joint Primary Runoff",2,3078,"2,884",416,193,223
"July 14th, 2020 Joint Primary Runoff",2,3079,"3,172",534,246,288
"July 14th, 2020 Joint Primary Runoff",2,3080,"1,159",222,90,132
"July 14th, 2020 Joint Primary Runoff",2,3081,"2,277",351,169,182
"July 14th, 2020 Joint Primary Runoff",2,3082,"2,534",273,136,137
"July 14th, 2020 Joint Primary Runoff",2,3083,"1,665",245,102,143
"July 14th, 2020 Joint Primary Runoff",2,3084,"3,387",371,183,188
"July 14th, 2020 Joint Primary Runoff",2,3085,"1,268",185,82,103
"July 14th, 2020 Joint Primary Runoff",2,3086,"1,788",339,153,186
"July 14th, 2020 Joint Primary Runoff",2,3087,"1,738",191,75,116
"July 14th, 2020 Joint Primary Runoff",2,3088,"3,613",480,206,274
"July 14th, 2020 Joint Primary Runoff",2,3089,"4,447",689,175,514
"July 14th, 2020 Joint Primary Runoff",2,3090,"3,175",401,172,229
"July 14th, 2020 Joint Primary Runoff",2,3091,866,127,41,86
"July 14th, 2020 Joint Primary Runoff",2,3092,"2,634",465,148,317
"July 14th, 2020 Joint Primary Runoff",2,3093,"4,538",689,237,452
"July 14th, 2020 Joint Primary Runoff",2,3094,"3,756",510,192,318
"July 14th, 2020 Joint Primary Runoff",2,3095,"3,235",194,126,68
"July 14th, 2020 Joint Primary Runoff",2,3096,"3,132",419,169,250
"July 14th, 2020 Joint Primary Runoff",2,3097,10,5,1,4
"July 14th, 2020 Joint Primary Runoff",2,3098,"1,288",236,110,126
"July 14th, 2020 Joint Primary Runoff",2,3099,"3,446",380,196,184
"July 14th, 2020 Joint Primary Runoff",2,3100,"3,361",335,188,147
"July 14th, 2020 Joint Primary Runoff",2,3101,"2,627",367,202,165
"July 14th, 2020 Joint Primary Runoff",2,3102,"3,095",479,206,273
"July 14th, 2020 Joint Primary Runoff",2,3103,779,63,43,20
"July 14th, 2020 Joint Primary Runoff",2,3104,"2,633",500,190,310
"July 14th, 2020 Joint Primary Runoff",2,3105,"3,417",383,172,211
"July 14th, 2020 Joint Primary Runoff",2,3106,"1,646",276,97,179
"July 14th, 2020 Joint Primary Runoff",2,3107,"1,681",161,101,60
"July 14th, 2020 Joint Primary Runoff",2,3108,"1,513",273,106,167
"July 14th, 2020 Joint Primary Runoff",2,3109,"3,280",320,193,127
"July 14th, 2020 Joint Primary Runoff",2,3110,"3,032",343,175,168
"July 14th, 2020 Joint Primary Runoff",2,3111,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,3112,"1,632",168,106,62
"July 14th, 2020 Joint Primary Runoff",2,3113,"1,166",92,65,27
"July 14th, 2020 Joint Primary Runoff",2,3114,"2,297",424,147,277
"July 14th, 2020 Joint Primary Runoff",2,3115,"1,780",435,191,244
"July 14th, 2020 Joint Primary Runoff",2,3116,"1,510",222,134,88
"July 14th, 2020 Joint Primary Runoff",2,3117,"3,032",592,239,353
"July 14th, 2020 Joint Primary Runoff",2,3118,"1,022",178,100,78
"July 14th, 2020 Joint Primary Runoff",2,3119,"3,895",430,233,197
"July 14th, 2020 Joint Primary Runoff",2,3120,"3,384",325,193,132
"July 14th, 2020 Joint Primary Runoff",2,3121,"4,567",439,221,218
"July 14th, 2020 Joint Primary Runoff",2,3122,"2,366",289,155,134
"July 14th, 2020 Joint Primary Runoff",2,3123,780,59,8,51
"July 14th, 2020 Joint Primary Runoff",2,3124,"3,864",346,169,177
"July 14th, 2020 Joint Primary Runoff",2,3125,"3,619",365,120,245
"July 14th, 2020 Joint Primary Runoff",2,3126,"1,771",221,88,133
"July 14th, 2020 Joint Primary Runoff",2,3127,"3,663",393,231,162
"July 14th, 2020 Joint Primary Runoff",2,3128,54,9,5,4
"July 14th, 2020 Joint Primary Runoff",2,3129,"3,321",353,222,131
"July 14th, 2020 Joint Primary Runoff",2,3130,"1,827",389,118,271
"July 14th, 2020 Joint Primary Runoff",2,3131,2,1,0,1
"July 14th, 2020 Joint Primary Runoff",2,3132,"1,591",106,78,28
"July 14th, 2020 Joint Primary Runoff",2,3133,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,3134,"3,186",243,168,75
"July 14th, 2020 Joint Primary Runoff",2,3135,964,173,104,69
"July 14th, 2020 Joint Primary Runoff",2,3136,483,83,35,48
"July 14th, 2020 Joint Primary Runoff",2,3137,"4,958",362,173,189
"July 14th, 2020 Joint Primary Runoff",2,3138,57,6,2,4
"July 14th, 2020 Joint Primary Runoff",2,3139,"1,594",164,90,74
"July 14th, 2020 Joint Primary Runoff",2,3140,412,49,33,16
"July 14th, 2020 Joint Primary Runoff",2,3141,"1,533",205,127,78
"July 14th, 2020 Joint Primary Runoff",2,3142,476,30,24,6
"July 14th, 2020 Joint Primary Runoff",2,3143,"1,534",227,114,113
"July 14th, 2020 Joint Primary Runoff",2,3144,348,59,32,27
"July 14th, 2020 Joint Primary Runoff",2,3145,"3,384",439,157,282
"July 14th, 2020 Joint Primary Runoff",2,3146,"3,446",418,284,134
"July 14th, 2020 Joint Primary Runoff",2,3147,"2,493",344,226,118
"July 14th, 2020 Joint Primary Runoff",2,3148,"1,302",144,44,100
"July 14th, 2020 Joint Primary Runoff",2,3149,"4,106",33,28,5
"July 14th, 2020 Joint Primary Runoff",2,3150,36,7,7,0
"July 14th, 2020 Joint Primary Runoff",2,3151,"2,995",372,145,227
"July 14th, 2020 Joint Primary Runoff",2,3152,"1,852",153,106,47
"July 14th, 2020 Joint Primary Runoff",2,3153,"1,518",240,124,116
"July 14th, 2020 Joint Primary Runoff",2,3154,"1,696",348,140,208
"July 14th, 2020 Joint Primary Runoff",2,3155,"2,909",350,138,212
"July 14th, 2020 Joint Primary Runoff",2,3156,15,2,2,0
"July 14th, 2020 Joint Primary Runoff",2,3157,"2,646",461,229,232
"July 14th, 2020 Joint Primary Runoff",2,3158,64,11,2,9
"July 14th, 2020 Joint Primary Runoff",2,3159,"2,494",215,114,101
"July 14th, 2020 Joint Primary Runoff",2,3160,"1,637",189,84,105
"July 14th, 2020 Joint Primary Runoff",2,3161,"2,782",291,156,135
"July 14th, 2020 Joint Primary Runoff",2,3162,"1,283",148,89,59
"July 14th, 2020 Joint Primary Runoff",2,3163,"2,607",364,135,229
"July 14th, 2020 Joint Primary Runoff",2,3164,"1,992",232,109,123
"July 14th, 2020 Joint Primary Runoff",2,3165,"3,729",482,220,262
"July 14th, 2020 Joint Primary Runoff",2,3166,516,98,62,36
"July 14th, 2020 Joint Primary Runoff",2,3167,13,1,1,0
"July 14th, 2020 Joint Primary Runoff",2,3168,556,52,29,23
"July 14th, 2020 Joint Primary Runoff",2,3169,143,20,12,8
"July 14th, 2020 Joint Primary Runoff",2,3170,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,3171,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,3172,585,47,27,20
"July 14th, 2020 Joint Primary Runoff",2,3173,"3,575",410,154,256
"July 14th, 2020 Joint Primary Runoff",2,3174,"4,080",561,203,358
"July 14th, 2020 Joint Primary Runoff",2,3175,623,104,58,46
"July 14th, 2020 Joint Primary Runoff",2,3176,34,6,4,2
"July 14th, 2020 Joint Primary Runoff",2,3177,0,0,0,0
"July 14th, 2020 Joint Primary Runoff",2,3178,0,0,0,0
